runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run4,0.9118102037357227,41,nonlure,0.75,j,1,CUE4-0,1
Run4,0.9118102037357227,42,nonlure,0.63,j,1,CUE4-0,1
Run4,0.9118102037357227,43,nonlure,0.66,j,1,CUE4-0,1
Run4,0.9118102037357227,44,lure,0.44,j,1,CUE4-0,1
Run4,0.9118102037357227,45,target,0.625,f,1,CUE4-0,1
Run4,0.9118102037357227,46,lure,0.625,j,1,CUE4-0,1
Run4,0.9118102037357227,47,nonlure,0.53,j,1,CUE4-0,1
Run4,0.9118102037357227,48,target,0.86,f,1,CUE4-0,1
Run4,0.9118102037357227,49,nonlure,0.62,j,1,CUE4-0,1
Run4,0.9118102037357227,50,lure,0.57,j,1,CUE4-0,1
Run4,0.9118102037357227,51,target,0.61,f,1,CUE5-0,1
Run4,0.9118102037357227,52,nonlure,0.875,j,1,CUE5-0,1
Run4,0.9118102037357227,53,target,0.734,f,1,CUE5-0,1
Run4,0.9118102037357227,54,nonlure,0.73,j,1,CUE5-0,1
Run4,0.9118102037357227,55,nonlure,0.484,j,1,CUE5-0,1
Run4,0.9118102037357227,56,lure,0.46,j,1,CUE5-0,1
Run4,0.9118102037357227,57,nonlure,0.53,j,1,CUE5-0,1
Run4,0.9118102037357227,58,lure,0.52,j,1,CUE5-0,1
Run4,0.9118102037357227,59,nonlure,0.53,j,1,CUE5-0,1
Run4,0.9118102037357227,60,lure,0.555,j,1,CUE5-0,1
Run4,0.9118102037357227,61,nonlure,0.9,j,1,CUE6-0,1
Run4,0.9118102037357227,62,nonlure,0.79,j,1,CUE6-0,1
Run4,0.9118102037357227,63,target,0.625,f,1,CUE6-0,1
Run4,0.9118102037357227,64,lure,0.81,j,1,CUE6-0,1
Run4,0.9118102037357227,65,target,0.67,f,1,CUE6-0,1
Run4,0.9118102037357227,66,nonlure,0.79,j,1,CUE6-0,1
Run4,0.9118102037357227,67,lure,0.42,j,1,CUE6-0,1
Run4,0.9118102037357227,68,nonlure,0.53,j,1,CUE6-0,1
Run4,0.9118102037357227,69,lure,0.414,j,1,CUE6-0,1
Run4,0.9118102037357227,70,nonlure,0.49,j,1,CUE6-0,1
Run4,0.9118102037357227,71,nonlure,0.52,j,1,CUE7-0,1
Run4,0.9118102037357227,72,nonlure,0.68,j,1,CUE7-0,1
Run4,0.9118102037357227,73,lure,0.69,j,1,CUE7-0,1
Run4,0.9118102037357227,74,nonlure,0.75,j,1,CUE6-0,0
Run4,0.9118102037357227,75,lure,0.6,j,1,CUE7-0,1
Run4,0.9118102037357227,76,target,0.67,f,1,CUE7-0,1
Run4,0.9118102037357227,77,target,0.55,f,1,CUE7-0,1
Run4,0.9118102037357227,78,nonlure,0.875,j,1,STIMULUS75-0,0
Run4,0.9118102037357227,79,nonlure,0.67,j,1,CUE7-0,1
Run4,0.9118102037357227,80,lure,0.46,j,1,STIMULUS75-0,0
Run5,1.2696605734544428,1,nonlure,0.647,j,1,CUE0-0,1
Run5,1.2696605734544428,2,target,0.688,f,1,CUE0-0,1
Run5,1.2696605734544428,3,nonlure,0.608,j,1,CUE0-0,1
Run5,1.2696605734544428,4,nonlure,0.436,j,1,CUE0-0,1
Run5,1.2696605734544428,5,lure,0.476,j,1,CUE0-0,1
Run5,1.2696605734544428,6,target,0.627,f,1,CUE0-0,1
Run5,1.2696605734544428,7,nonlure,0.64,j,1,CUE0-0,1
Run5,1.2696605734544428,8,lure,0.428,j,1,CUE0-0,1
Run5,1.2696605734544428,9,lure,0.677,j,1,CUE0-0,1
Run5,1.2696605734544428,10,nonlure,0.414,j,1,CUE0-0,1
Run5,1.2696605734544428,11,target,0.648,f,1,CUE1-0,1
Run5,1.2696605734544428,12,nonlure,0.553,j,1,STIMULUS10-0,0
Run5,1.2696605734544428,13,nonlure,0.589,j,1,CUE1-0,1
Run5,1.2696605734544428,14,nonlure,0.697,j,1,CUE1-0,1
Run5,1.2696605734544428,15,lure,0.456,j,1,CUE1-0,1
Run5,1.2696605734544428,16,nonlure,0.469,j,1,CUE1-0,1
Run5,1.2696605734544428,17,lure,0.513,j,1,CUE1-0,1
Run5,1.2696605734544428,18,lure,0.561,j,1,CUE1-0,1
Run5,1.2696605734544428,19,target,0.585,f,1,CUE1-0,1
Run5,1.2696605734544428,20,nonlure,0.611,j,1,CUE1-0,1
Run5,1.2696605734544428,21,nonlure,0.455,j,1,CUE2-0,1
Run5,1.2696605734544428,22,lure,0.742,j,1,CUE2-0,1
Run5,1.2696605734544428,23,nonlure,0.716,j,1,STIMULUS20-0,0
Run5,1.2696605734544428,24,target,0.707,f,1,CUE2-0,1
Run5,1.2696605734544428,25,nonlure,0.655,j,1,CUE2-0,1
Run5,1.2696605734544428,26,nonlure,0.568,j,1,CUE2-0,1
Run5,1.2696605734544428,27,target,0.554,f,1,CUE2-0,1
Run5,1.2696605734544428,28,nonlure,0.527,j,1,CUE2-0,1
Run5,1.2696605734544428,29,lure,0.514,j,1,CUE2-0,1
Run5,1.2696605734544428,30,lure,0.428,j,1,CUE2-0,1
Run5,1.2696605734544428,31,nonlure,0.581,j,1,CUE3-0,1
Run5,1.2696605734544428,32,nonlure,0.463,j,1,CUE3-0,1
Run5,1.2696605734544428,33,lure,0.529,j,1,CUE3-0,1
Run5,1.2696605734544428,34,nonlure,0.535,j,1,CUE3-0,1
Run5,1.2696605734544428,35,nonlure,0.604,j,1,CUE3-0,1
Run5,1.2696605734544428,36,nonlure,0.544,j,1,CUE3-0,1
Run5,1.2696605734544428,37,lure,0.492,j,1,CUE3-0,1
Run5,1.2696605734544428,38,target,0.522,f,1,CUE3-0,1
Run5,1.2696605734544428,39,lure,0.48,j,1,CUE3-0,1
Run5,1.2696605734544428,40,target,0.538,f,1,CUE3-0,1
Run5,1.2696605734544428,41,nonlure,0.58,j,1,CUE4-0,1
Run5,1.2696605734544428,42,nonlure,0.54,j,1,CUE4-0,1
